"Apr 18, 2019 @ 02:22", 1000.26,
"Apr 18, 2019 @ 07:31", 997.12,
"Apr 19, 2019 @ 00:55", 995.03,
"Apr 19, 2019 @ 05:52", 995.05,
"Apr 19, 2019 @ 09:58", 997.16,
"Apr 19, 2019 @ 11:46", 997.17,
"Apr 19, 2019 @ 13:02", 997.73,
"Apr 19, 2019 @ 15:01", 997.52,
"Apr 19, 2019 @ 16:37", 997.92,
"Apr 19, 2019 @ 20:35", 998.27,
"Apr 20, 2019 @ 00:29", 998.85,
"Apr 20, 2019 @ 10:06", 998.11,
"Apr 20, 2019 @ 19:33", 1002.66,
"Apr 21, 2019 @ 10:07", 1008.31,
"Apr 21, 2019 @ 19:04", 1008.31,
"Apr 22, 2019 @ 14:05", 1009.50,
"Apr 22, 2019 @ 18:37", 1009.50,
"Apr 23, 2019 @ 07:14", 1007.44,
"Apr 24, 2019 @ 11:54", 1003.41,
"Apr 24, 2019 @ 22:15", 1000.27,
"Apr 25, 2019 @ 09:11", 1000.25,
"Apr 25, 2019 @ 14:19", 995.73,
"Apr 25, 2019 @ 14:59", 995.72,
"Apr 25, 2019 @ 19:31", 995.30,
"Apr 25, 2019 @ 21:59", 999.09,
"Apr 26, 2019 @ 17:46", 1006.38,
"Apr 27, 2019 @ 06:32", 1006.38,
"Apr 27, 2019 @ 08:54", 1004.86,
"Apr 27, 2019 @ 09:02", 1004.75,
"Apr 27, 2019 @ 11:55", 1002.30,
"Apr 27, 2019 @ 22:11", 1002.30,
"Apr 29, 2019 @ 00:11", 1005.19,
"Apr 29, 2019 @ 12:30", 1005.21,
"Apr 29, 2019 @ 21:55", 1008.29,
"Apr 30, 2019 @ 07:48", 1009.33,
"Apr 30, 2019 @ 19:44", 1004.34,
"May 1, 2019 @ 18:48", 1006.40,
"May 2, 2019 @ 06:50", 1006.40,
"May 2, 2019 @ 06:55", 1007.11,
"May 2, 2019 @ 07:00", 1007.30,
"May 2, 2019 @ 07:09", 1007.36,
"May 2, 2019 @ 07:14", 1007.30,
"May 2, 2019 @ 07:20", 1007.24,
"May 2, 2019 @ 07:25", 1007.30,
"May 2, 2019 @ 07:34", 1007.24,
"May 2, 2019 @ 07:40", 1007.33,
"May 2, 2019 @ 07:45", 1007.38,
"May 2, 2019 @ 07:54", 1007.64,
"May 2, 2019 @ 07:59", 1007.68,
"May 2, 2019 @ 08:05", 1007.69,
"May 2, 2019 @ 08:10", 1007.73,
"May 2, 2019 @ 08:15", 1007.74,
"May 2, 2019 @ 08:24", 1007.80,
"May 2, 2019 @ 08:30", 1007.77,
"May 2, 2019 @ 08:35", 1007.74,
"May 2, 2019 @ 08:44", 1007.77,
"May 2, 2019 @ 08:49", 1007.81,
"May 2, 2019 @ 08:55", 1007.90,
"May 2, 2019 @ 09:14", 1007.81,
"May 2, 2019 @ 10:08", 1007.95,
"May 2, 2019 @ 15:14", 1007.95,
"May 2, 2019 @ 15:19", 1004.36,
"May 2, 2019 @ 15:26", 1004.36,
"May 2, 2019 @ 15:34", 1004.23,
"May 2, 2019 @ 15:41", 1004.11,
"May 2, 2019 @ 15:49", 1004.00,
"May 2, 2019 @ 15:54", 1003.96,
"May 2, 2019 @ 16:01", 1003.92,
"May 2, 2019 @ 16:09", 1003.85,
"May 2, 2019 @ 16:14", 1003.90,
"May 2, 2019 @ 16:21", 1004.00,
"May 2, 2019 @ 16:29", 1003.89,
"May 2, 2019 @ 16:36", 1003.87,
"May 2, 2019 @ 16:44", 1003.68,
"May 2, 2019 @ 16:51", 1003.65,
"May 2, 2019 @ 16:56", 1003.66,
"May 2, 2019 @ 17:04", 1003.60,
"May 2, 2019 @ 17:11", 1003.44,
"May 2, 2019 @ 17:16", 1003.43,
"May 2, 2019 @ 17:24", 1003.35,
"May 2, 2019 @ 17:29", 1003.28,
"May 2, 2019 @ 17:36", 1003.12,
"May 2, 2019 @ 17:44", 1003.08,
"May 2, 2019 @ 21:10", 1003.01,
